OPEID6,INSTNM,C150_4,ADM_RATE,SATVR25,SATMT25,COSTT4_A,NPT4_PUB,NPT4_PRIV,UGDS,LOCALE,CITY,STABBR,PCIP27,PCIP52,CIP27BACHL,CIP52BACHL
11711,University of Houston-Clear Lake,0.5263,0.9052,490,480,24622,15563,,6078,12,Houston,TX,0.0122,0.2259,1,1
3612,University of Houston-Downtown,,0.8996,480,460,20749,10542,,12555,11,Houston,TX,0.0041,0.3644,1,2
13231,University of Houston-Victoria,0.3602,0.959,,,21401,8109,,2513,13,Victoria,TX,0.0052,0.3042,1,1
3652,University of Houston,0.6905,0.7392,590,570,26185,14276,,38380,11,Houston,TX,0.0085,0.2805,1,1
3575,Howard Payne University,0.4111,0.6737,440,440,46766,,23627,713,33,Brownwood,TX,0.0165,0.157,1,1
3577,Huston-Tillotson University,,0.3909,430,370,25384,,19719,1005,11,Austin,TX,0.0057,0.25,1,1
3578,University of the Incarte Word,,0.9814,,,48681,,22775,4440,11,San Antonio,TX,0.0099,0.2785,1,1
3637,Jarvis Christian University,,,,,25185,,9825,577,42,Hawkins,TX,,0.1985,1,1
3581,Lamar University,0.3987,0.8641,480,450,22254,9366,,8150,12,Beaumont,TX,0.0117,0.1641,1,2
10130,Wade College,0.4727,,,,25506,,20778,252,11,Dallas,TX,,0.1406,,1
3594,University of North Texas,0.4091,0.7223,500,480,26243,15649,,34341,12,Denton,TX,0.0061,0.1982,1,2
3598,Our Lady of the Lake University,,,,,42865,,16442,1066,11,San Antonio,TX,0.0108,0.1183,1,2
3606,Sam Houston State University,,0.9026,480,450,25505,16404,,17743,32,Huntsville,TX,0.0042,0.1663,1,1
3623,St. Mary's University,0.2713,0.9776,465,435,47999,,21145,1951,11,San Antonio,TX,0.0149,0.2488,1,1
3616,Nelson University,,0.8902,460,430,34504,,21662,1479,21,Waxahachie,TX,,0.1624,,2
3620,Southwestern University,0.2094,0.4305,580,550,67493,,29224,1440,13,Georgetown,TX,0.0261,0.219,1,1
3624,Stephen F Austin State University,0.6817,0.9399,500,470,25791,14260,,8728,33,cogdoches,TX,0.0041,0.1921,1,2
3659,The University of Texas Health Science Center at San Antonio,0.7533,,,,,,,930,11,San Antonio,TX,,,,
4952,The University of Texas Medical Branch at Galveston,0.4239,,,,,,,545,13,Galveston,TX,,,,
3639,Texas A&M University-Kingsville,0.2896,0.9092,510,480,24060,12090,,4748,32,Kingsville,TX,0.0044,0.0833,1,1
3661,The University of Texas at El Paso,0.2,0.9992,450,410,19836,9403,,21005,11,El Paso,TX,0.0057,0.135,1,2
3638,Texas College,0.4413,,,,20339,,10958,614,12,Tyler,TX,,0.2321,1,1
9768,University of North Texas Health Science Center,,,,,,,,41,11,Fort Worth,TX,,,,
9930,The University of Texas Permian Basin,,0.9489,470,440,23886,12723,,3911,12,Odessa,TX,0.0031,0.1958,1,1
3647,Trinity University,0.3154,0.2592,680,660,68224,,23464,2505,11,San Antonio,TX,0.0442,0.2636,1,1
4951,The University of Texas Health Science Center at Houston,0.1613,,,,,,,465,11,Houston,TX,,,,
10674,Texas Tech University Health Sciences Center,0.3969,,,,,,,1482,11,Lubbock,TX,,,,
3665,West Texas A & M University,0.2134,0.9868,480,470,23482,19487,,6917,31,Canyon,TX,0.0037,0.2017,1,1
3669,Wiley University,,,,,19097,,7092,712,32,Marshall,TX,,0.3205,1,2
1606,Brigham Young University-Hawaii,0.8333,0.4696,480,480,25098,,16774,2889,31,Laie,HI,0.0113,0.2576,1,1
21785,Eagle Gate College-Murray,0.7046,,,,33765,,27345,351,13,Murray,UT,,,,
3681,Westminster University,,0.6657,540,530,57616,,27094,823,12,Salt Lake City,UT,0.0082,0.1592,1,1
3682,Bennington College,0.5378,0.4453,703,588,87284,,30947,780,32,Bennington,VT,0.0078,,1,1
3692,Norwich University,0.7169,0.7444,540,520,67357,,22257,2428,42,Northfield,VT,0.0071,0.1029,1,1
3694,Saint Michael's College,0.6698,0.8451,570,550,69079,,25239,1092,22,Colchester,VT,0.0168,0.2391,1,1
21435,Sterling College,,0.6667,,,54410,,21854,50,43,Craftsbury Common,VT,,,,
3698,Vermont State University,,0.8167,,,25988,18212,,3590,43,Randolph,VT,0.0117,0.1018,1,2
3702,Averett University,0.5266,0.5659,448,478,53460,,22925,1231,32,Danville,VA,0.007,0.1754,1,2
3703,Bluefield University,0.7147,0.5931,,,42539,,25573,614,32,Bluefield,VA,0.0102,0.102,1,1
30913,Regent University,,0.3812,530,460,32838,,19923,4729,11,Virginia Beach,VA,0.0027,0.2025,1,2
3708,Eastern Mennonite University,0.7124,1,,,56756,,24588,754,13,Harrisonburg,VA,0.019,0.2476,1,1
3749,George Mason University,,0.8748,580,580,28604,17915,,27752,21,Fairfax,VA,0.0072,0.1954,1,2
3721,James Madison University,0.507,0.7152,600,570,31735,23322,,20888,13,Harrisonburg,VA,0.0066,0.1385,1,1
3719,Longwood University,,0.9022,530,500,34588,19066,,3015,32,Farmville,VA,0.0047,0.1534,1,1
3724,Marymount University,0.722,0.9316,,,57184,,29137,1810,12,Arlington,VA,0.0023,0.1347,1,1
31065,Sentara College of Health Sciences,,,,,,,,242,11,Chesapeake,VA,,,,
3728,Old Dominion University,,0.9036,570,530,29446,14638,,17514,12,Norfolk,VA,0.0039,0.1545,1,2
3732,Radford University,,0.8953,490,450,28405,14578,,6038,31,Radford,VA,0.0059,0.1227,1,1
10043,Bon Secours Memorial College of Nursing,0.5091,,,,,,,591,21,Richmond,VA,,,,
42740,Southeastern Free Will Baptist Bible College,0.4059,,,,21203,,12602,64,41,Wendell,NC,,,,1
1459,Strayer University-Virginia,,,,,25158,,19578,1668,12,Arlington,VA,,0.7113,,2
3753,Virginia Military Institute,0.4312,0.7125,550,500,34824,17113,,1527,32,Lexington,VA,0.0462,,1,
3766,Virginia Union University,,0.9799,450,400,29075,,13235,1203,12,Richmond,VA,,0.2083,1,1
3767,Virginia Wesleyan University,,0.7287,,,51255,,19676,1256,11,Virginia Beach,VA,0.0332,0.1909,1,1
13022,City University of Seattle,,,,,,,,1137,11,Seattle,WA,,0.4643,,2
12315,Cornish College of the Arts,0.6636,0.6221,,,60273,,40062,488,11,Seattle,WA,,,,
3778,Gonzaga University,0.8317,0.8169,600,590,73178,,35119,5198,12,Spokane,WA,0.0194,0.2716,1,1
3777,Heritage University,0.8964,,,,31209,,14598,812,41,Toppenish,WA,0.0095,0.0952,1,1
22425,Bastyr University,0.6091,,,,,,,39,21,Kenmore,WA,,,,
3797,University of Puget Sound,,0.7225,610,560,78378,,38394,1594,12,Tacoma,WA,0.0175,0.1525,1,1
3788,Seattle Pacific University,0.3673,0.834,,,56826,,24488,1762,11,Seattle,WA,0.0097,0.126,1,1
3804,Whitworth University,,0.8978,550,540,68516,,26534,1858,21,Spokane,WA,0.0181,0.127,1,1
3809,Bluefield State University,,0.9723,440,430,21839,13684,,1042,32,Bluefield,WV,,0.0504,,1
3818,University of Charleston,0.7165,0.6152,,,46470,,22107,2259,13,Charleston,WV,,0.5603,,2
3811,Davis & Elkins College,,0.9433,,,44888,,18273,661,33,Elkins,WV,,0.1417,1,1
3812,Fairmont State University,0.6017,0.9862,450,360,20018,9032,,2590,32,Fairmont,WV,0.0028,0.1054,1,1
3815,Marshall University,0.7171,0.9573,480,430,22022,7502,,7266,13,Huntington,WV,0.002,0.1567,1,2
3820,Salem University,,,,,18650,,12303,892,42,Salem,WV,,0.5154,,2
3822,Shepherd University,,0.9678,468,410,19601,11363,,2344,41,Shepherdstown,WV,0.0147,0.1602,1,1
3827,West Virginia University Institute of Technology,0.4363,0.3668,460,420,18907,9337,,981,13,Beckley,WV,0.0064,0.1859,1,1
